ECs	E2P2	PRIAM	KOALA	KAAS	INTERPRO	Blast2Go
1.14.11.13	0,95238095	1,0	1,0	0,82352941	0	1,0
1.5.1.20	1,0	1,0	1,0	1,0	0,66666667	1,0
4.2.3.49	0	1,0	0	0	0	1,0
4.2.3.48	0,71428572	0,88888889	0,5	0	0	0
4.2.3.44	0	0,85714286	0	0	0	0
4.2.3.47	0,5	1,0	0	0	0	0
4.2.3.46	0,85714286	0,8	0,5	0	0	0
4.2.3.40	0,5	1,0	0	1,0	0	1,0
6.3.2.2	0,94736842	1,0	1,0	0,71428572	0,71428572	1,0
6.3.2.3	1,0	1,0	1,0	1,0	0,8	1,0
6.3.2.1	1,0	1,0	1,0	0,8	0,8	1,0
6.3.2.6	1,0	1,0	1,0	1,0	0	1,0
4.2.1.3	1,0	1,0	1,0	0,83333333	0	1,0
4.2.1.1	1,0	1,0	1,0	0,95652174	0,54545455	0,92307692
4.2.1.9	1,0	1,0	1,0	1,0	1,0	1,0
6.3.4.4	1,0	1,0	1,0	0,96551724	0,69565217	1,0
3.5.3.12	1,0	1,0	1,0	1,0	0	1,0
1.14.13.11	0,96551724	1,0	0,96551724	0,13333333	0	1,0
6.3.4.3	1,0	1,0	1,0	1,0	0	1,0
3.4.22.31	1,0	1,0	0	0	0	0
3.4.22.30	0,66666667	1,0	0	0	0	0
3.4.22.33	0,25	1,0	0	0	0	0
3.4.22.32	1,0	1,0	0	0	0	0
3.4.22.34	0,7	0,7	0,7	0,66666666	0	0
2.4.1.46	1,0	1,0	1,0	0,42857143	0	0,9
2.4.1.43	0,07692308	1,0	0,16666667	0,16666667	0	0,08695653
3.2.1.119	1,0	0	1,0	0	0	1,0
3.2.1.113	0,75	1,0	1,0	1,0	0	0,75
3.2.1.114	0	1,0	1,0	1,0	0	1,0
3.2.1.117	1,0	0	0	0	0	0
2.7.10.2	0,31578947	0,5	0	0	0	1,0
2.7.10.1	0,34375	0,13333333	0,2962963	0,42105264	0	0,64
2.3.1.216	1,0	1,0	0	0	0	0
2.3.1.217	0	1,0	0	0	0	1,0
2.3.1.214	1,0	1,0	0	0	0	1,0
2.3.1.215	1,0	0	0	0	0	1,0
2.4.1.116	1,0	1,0	0	0	0	1,0
2.1.1.295	1,0	1,0	1,0	0,4	0	1,0
2.3.1.211	1,0	1,0	0	0	0	1,0
2.7.12.1	0,54545455	1,0	1,0	1,0	0	0,38095238
2.7.12.2	1,0	1,0	1,0	0,84210526	0	0
2.3.1.218	1,0	1,0	0	0	0	0
2.3.1.219	0,5	1,0	0	0	0	0,5
4.2.1.78	1,0	0,75	0	0	0	1,0
1.8.98.2	1,0	1,0	1,0	1,0	0	1,0
2.3.1.35	1,0	1,0	1,0	0,94117647	0,875	1,0
4.2.1.76	0,5	1,0	1,0	1,0	0	1,0
2.7.11.32	0,90909091	1,0	1,0	0,57142857	0	0
3.1.3.77	0,2	0,94736842	1,0	0,8	0,71428572	1,0
6.1.1.22	1,0	1,0	1,0	1,0	0,4	1,0
6.1.1.20	1,0	1,0	1,0	1,0	0	0,85714286
6.1.1.21	1,0	1,0	1,0	1,0	0,5	1,0
3.4.21.53	1,0	0,84210526	1,0	1,0	0	0
3.4.21.102	0,54545455	1,0	1,0	1,0	0	0
2.7.1.172	1,0	1,0	1,0	1,0	0	1,0
3.1.1.32	0,30303031	0,66666667	0,5	0,5	0	0,32258064
3.1.1.31	1,0	1,0	1,0	1,0	0,14285715	1,0
4.3.2.1	1,0	1,0	1,0	1,0	0	1,0
2.4.1.100	1,0	1,0	0	0	0	0,66666667
4.3.2.9	0	0	0	0	0,5	1,0
1.10.3.11	1,0	1,0	1,0	0,54545455	0	1,0
2.8.1.11	0,88888889	1,0	1,0	0,85714286	0	1,0
2.8.1.12	0,6	1,0	1,0	1,0	0	0,6
3.5.3.26	1,0	1,0	1,0	1,0	0	0
1.16.5.1	0,66666667	0,66666667	0,66666667	0,66666667	0	0
2.6.1.62	1,0	1,0	1,0	0,28571429	0	1,0
1.1.1.248	1,0	1,0	0	0	0	1,0
1.16.3.1	1,0	1,0	0,0952381	0,0952381	0,1	1,0
1.1.1.247	0,75	0,83333333	0	0	0	0,83333333
1.1.1.243	1,0	1,0	0	0	0	1,0
2.3.1.208	0,8	0,8	0	0	0	0
1.1.1.330	0,4	1,0	0,66666667	1,0	0	1,0
1.1.1.331	1,0	0	0	0	0	0
1.1.1.334	1,0	1,0	0	0	0	0
5.3.3.8	0,22222222	0,76923077	0	0,22222222	0	1,0
3.2.1.68	0,90909091	0,88888889	0,90909091	0,8	0	0,83333333
2.3.1.25	1,0	1,0	0	0	0	1,0
5.3.3.2	0,93333333	1,0	1,0	0,92307692	0,72727273	1,0
3.2.1.67	0,93333333	0,76923077	0,76190477	0,4	0	0,875
5.3.3.5	0	1,0	1,0	1,0	0	1,0
2.7.4.21	1,0	0	0	0	0	0,66666667
2.7.4.27	0,88888889	1,0	1,0	0,57142857	0	0
2.7.4.24	1,0	0	1,0	1,0	0	1,0
1.14.13.93	1,0	1,0	1,0	0,57142857	0	1,0
5.4.99.47	1,0	1,0	0	0	0	0
3.5.3.9	1,0	1,0	1,0	0,88888889	0	0,88888889
2.6.1.9	1,0	1,0	1,0	1,0	1,0	1,0
4.1.1.97	1,0	1,0	1,0	1,0	0	0
2.6.1.4	0,8	1,0	1,0	1,0	0	1,0
3.5.3.1	1,0	1,0	1,0	0,57142857	0	0,90909091
3.4.17.21	0	0,4	1,0	0,66666667	0	0
2.6.1.1	0,9032258	0,92307692	0,88888889	0,88888889	0	0,93333333
2.6.1.2	1,0	1,0	1,0	1,0	0	0,8
2.4.1.286	1,0	1,0	0	0	0	1,0
1.2.1.88	0,5	1,0	0,66666667	1,0	0	1,0
1.2.1.84	0,71428571	0,22222222	0,94117647	0,94117647	0	0,94117647
2.1.1.37	0,92682927	0,92307692	0,88235294	0,77419355	0	0,95
2.1.1.33	1,0	1,0	1,0	1,0	1,0	1,0
1.14.13.184	0,66666667	1,0	0	0	0	1,0
1.14.13.183	1,0	1,0	0	0	0	1,0
5.5.1.18	1,0	1,0	1,0	0,5	0	0
5.5.1.19	0,85714286	0,92307692	0,92307692	0,72727273	0	0
2.7.1.20	1,0	1,0	1,0	1,0	0,66666667	1,0
2.7.1.21	1,0	1,0	1,0	1,0	0	1,0
4.1.2.8	1,0	1,0	0	0	0	0,8
2.7.1.23	0,83333333	1,0	0,83333333	0,90909091	0,5	0,4
5.5.1.12	0,44444445	0,96296296	0	0	0	0,8125
